"user_name","user_birth_date","user_birth_city","seller","seller_address","transaction_amount","transaction_date"
"Marta Coppola","1984-03-04","Albese Con Cassano","Passalacqua s.r.l.","Piazza Alfio, 40 Appartamento 5 80063, Piano Di Sorrento (NA)","90,100","2022-10-28"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Borsiere SPA","Canale Alessandra, 93 71041, Carapelle (FG)","210,92","2022-11-07"
"Diana Maffei","1995-12-06","Peschici","Finotto, Ajello e Cerutti s.r.l.","Borgo Azeglio, 31 26817, San Martino In Strada (LO)","184,70","2022-10-27"
"Maria Marazzi","1992-06-18","Melle","Paolucci e figli","Via Alessandro, 10 Appartamento 9 02048, Stimigliano Stazione (RI)","110,43","2022-10-30"
"Marta Coppola","1984-03-04","Albese Con Cassano","Sinisi s.r.l.","Strada Sagredo, 58 Appartamento 29 05039, Stroncone (TR)","163,26","2022-10-31"
"Marta Coppola","1984-03-04","Albese Con Cassano","Sinisi s.r.l.","Strada Sagredo, 58 Appartamento 29 05039, Stroncone (TR)","211,42","2022-11-02"
"Vittorio Gentili","1992-04-27","Sommati","Almagià-Zanazzo e figli","Incrocio Accardo, 96 Appartamento 51 15029, Solero (AL)","81,85","2022-11-08"
"Vittorio Gentili","1992-04-27","Sommati","Mondaini, Lollobrigida e Pavone e figli","Contrada Valguarnera, 10 Appartamento 14 70010, Adelfia Montrone (BA)","2,97","2022-11-04"
"Maria Marazzi","1992-06-18","Melle","Roero Group","Strada Goldoni, 913 Piano 0 84039, San Marco Di Teggiano (SA)","246,92","2022-11-05"
"Marta Coppola","1984-03-04","Albese Con Cassano","Porcellato, Monaco e Udinese Group","Via Amadeo, 718 Piano 3 55018, Segromigno In Monte (LU)","33,57","2022-10-24"
"Luciano Castiglione","1993-06-07","Baricella","Ziani e figli","Via Milena, 413 Appartamento 39 13891, Camburzano (BI)","237,14","2022-10-24"
"Diana Maffei","1995-12-06","Peschici","Barsanti-Pace e figli","Viale Tamburello, 565 Piano 1 40137, Bologna (BO)","194,44","2022-10-29"
"Luciano Castiglione","1993-06-07","Baricella","Salvo, Gabbana e Oscuro SPA","Canale Mercedes, 0 Piano 0 25089, Bostone (BS)","55,77","2022-10-31"
"Luciano Castiglione","1993-06-07","Baricella","Ariosto-Gori s.r.l.","Rotonda Chiara, 71 21010, Porto Valtravaglia (VA)","25,9","2022-10-27"
"Mirko Malatesta","2000-02-10","Santorso","Cannizzaro-Barberini Group","Viale Sole, 94 Appartamento 13 23893, Cassago Brianza (LC)","5,49","2022-10-14"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Cerquiglini, Acerbi e Mazzocchi s.r.l.","Vicolo Emma, 6 45011, Baricetta (RO)","67,26","2022-10-18"
"Luciano Castiglione","1993-06-07","Baricella","Donà, Eco e Gianinazzi SPA","Via Piero, 9 Appartamento 8 95031, Adrano (CT)","12,62","2022-11-01"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Scamarcio-Bernini s.r.l.","Strada Carlo, 77 05039, Stroncone (TR)","122,78","2022-10-30"
"Marta Coppola","1984-03-04","Albese Con Cassano","Chiesa-Piccinni e figli","Borgo Gloria, 4 23871, Lomagna (LC)","236,57","2022-10-19"
"Diana Maffei","1995-12-06","Peschici","Orengo, Ruffini e Petrucci s.r.l.","Contrada Antonello, 72 81013, San Giovanni E Paolo (CE)","126,58","2022-11-08"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Falier SPA","Borgo Giuseppe, 71 24023, Clusone (BG)","123,31","2022-11-03"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Serlupi-Colletti e figli","Piazza Giampiero, 26 Piano 1 26025, Pandino (CR)","245,16","2022-10-18"
"Vittorio Gentili","1992-04-27","Sommati","Tresoldi-Tebaldi e figli","Vicolo Gino, 13 Piano 7 84070, Salento (SA)","27,13","2022-10-16"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Puccini-Morabito SPA","Vicolo Boccioni, 27 Appartamento 5 63087, Comunanza (AP)","82,95","2022-10-14"
"Maria Marazzi","1992-06-18","Melle","Pisani s.r.l.","Piazza Cianciolo, 7 Piano 7 81053, Riardo (CE)","123,37","2022-10-31"
"Marta Coppola","1984-03-04","Albese Con Cassano","Cociarelli, Rosselli e Giannetti Group","Contrada Roberta, 26 Appartamento 4 06083, Bastia (PG)","33,45","2022-10-26"
"Diana Maffei","1995-12-06","Peschici","Vercelloni, Fioravanti e Navone Group","Rotonda Tiziana, 93 Piano 9 03010, Madonna Delle Grazie (FR)","174,48","2022-10-13"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Bianchini-Zola e figli","Via Pareto, 258 92027, Licata (AG)","34,17","2022-10-24"
"Vittorio Gentili","1992-04-27","Sommati","Odescalchi Group","Borgo Gianmarco, 539 16049, Amborzasco (GE)","244,33","2022-10-28"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Ioppi, Baggio e Trentin e figli","Vicolo Donatella, 710 Piano 4 25031, Capriolo (BS)","44,37","2022-10-20"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Battaglia, Tamburini e Bersani s.r.l.","Canale Giannuzzi, 60 21061, Maccagno (VA)","96,73","2022-11-09"
"Tullio Majorana","1991-12-04","Giralba","Sgalambro, Tencalla e Condoleo e figli","Vicolo Tomei, 698 Piano 4 02030, Collelungo (RI)","92,31","2022-10-31"
"Diana Maffei","1995-12-06","Peschici","Ramazzotti, Polani e Pozzecco e figli","Contrada Morena, 211 Appartamento 78 58014, Manciano (GR)","99,34","2022-10-29"
"Diana Maffei","1995-12-06","Peschici","Sagese, Canali e Favata Group","Via Balotelli, 42 Appartamento 8 20017, Lucernate (MI)","188,29","2022-10-23"
"Maria Marazzi","1992-06-18","Melle","Palazzo Group","Viale Iannucci, 926 32020, Avoscan (BL)","153,25","2022-10-24"
"Maria Marazzi","1992-06-18","Melle","Paolucci e figli","Via Alessandro, 10 Appartamento 9 02048, Stimigliano Stazione (RI)","58,35","2022-10-31"
"Mirko Malatesta","2000-02-10","Santorso","Cannizzaro-Barberini Group","Viale Sole, 94 Appartamento 13 23893, Cassago Brianza (LC)","32,8","2022-10-20"
"Tullio Majorana","1991-12-04","Giralba","Sgalambro, Tencalla e Condoleo e figli","Vicolo Tomei, 698 Piano 4 02030, Collelungo (RI)","178,78","2022-11-04"
"Mirko Malatesta","2000-02-10","Santorso","Prada-Meucci e figli","Incrocio Spanevello, 89 Piano 7 00159, Roma (RM)","177,63","2022-10-24"
"Vittorio Gentili","1992-04-27","Sommati","Tebaldi-Ughi e figli","Via Tamborini, 53 80047, Santa Maria La Scala (NA)","4,5","2022-11-06"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Serlupi-Colletti e figli","Piazza Giampiero, 26 Piano 1 26025, Pandino (CR)","160,71","2022-10-17"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Bianchini-Zola e figli","Via Pareto, 258 92027, Licata (AG)","139,9","2022-11-08"
"Maria Marazzi","1992-06-18","Melle","Parmitano Group","Rotonda Surian, 57 Appartamento 69 22025, Lezzeno (CO)","174,97","2022-10-31"
"Luciano Castiglione","1993-06-07","Baricella","Callegaro, Gottardi e Montalti SPA","Stretto Dossi, 78 46020, Schivenoglia (MN)","9,21","2022-10-29"
"Tullio Majorana","1991-12-04","Giralba","Raurica, Pistoletto e Gangemi Group","Canale Gilberto, 39 33046, Pulfero (UD)","224,43","2022-11-01"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Panicucci-Abbagnale e figli","Incrocio Arsenio, 6 Piano 8 30171, Mestre (VE)","168,75","2022-10-19"
"Luciano Castiglione","1993-06-07","Baricella","Donà, Eco e Gianinazzi SPA","Via Piero, 9 Appartamento 8 95031, Adrano (CT)","172,85","2022-10-24"
"Tullio Majorana","1991-12-04","Giralba","Raurica, Pistoletto e Gangemi Group","Canale Gilberto, 39 33046, Pulfero (UD)","71,15","2022-11-09"
"Vittorio Gentili","1992-04-27","Sommati","Barzini, Pergolesi e Franzese s.r.l.","Rotonda Solimena, 438 31055, Quinto Di Treviso (TV)","51,90","2022-11-05"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Ruggieri-Mannoia s.r.l.","Piazza Ariosto, 71 Piano 7 15051, Castellania (AL)","133,75","2022-11-10"
"Mirko Malatesta","2000-02-10","Santorso","Prada-Meucci e figli","Incrocio Spanevello, 89 Piano 7 00159, Roma (RM)","137,14","2022-10-30"
"Marta Coppola","1984-03-04","Albese Con Cassano","Botticelli-Ortolani s.r.l.","Stretto Annunziata, 7 89841, Pizzinni (VV)","132,99","2022-10-22"
"Tullio Majorana","1991-12-04","Giralba","Antonello, Telesio e Pavarotti e figli","Canale Fiorenzo, 718 Piano 2 83050, San Nicola Baronia (AV)","220,74","2022-10-22"
"Tullio Majorana","1991-12-04","Giralba","Marcacci, Toso e Crespi SPA","Rotonda Sobrero, 65 Piano 5 98026, Nizza Di Sicilia (ME)","44,43","2022-10-18"
"Luciano Castiglione","1993-06-07","Baricella","Donà, Eco e Gianinazzi SPA","Via Piero, 9 Appartamento 8 95031, Adrano (CT)","231,97","2022-11-07"
"Luciano Castiglione","1993-06-07","Baricella","Marazzi-Mondadori SPA","Vicolo Sollima, 6 Appartamento 11 20847, Albiate (MB)","13,10","2022-11-07"
"Maria Marazzi","1992-06-18","Melle","Pisani s.r.l.","Piazza Cianciolo, 7 Piano 7 81053, Riardo (CE)","103,93","2022-11-08"
"Luciano Castiglione","1993-06-07","Baricella","Giovine SPA","Borgo Gabba, 443 Piano 7 74014, Laterza (TA)","54,56","2022-10-19"
"Luciano Castiglione","1993-06-07","Baricella","Callegaro, Gottardi e Montalti SPA","Stretto Dossi, 78 46020, Schivenoglia (MN)","101,39","2022-10-23"
"Diana Maffei","1995-12-06","Peschici","Ramazzotti, Polani e Pozzecco e figli","Contrada Morena, 211 Appartamento 78 58014, Manciano (GR)","135,88","2022-10-24"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Rinaldi, Virgilio e Panatta Group","Strada Leonetti, 68 90022, Caltavuturo (PA)","113,28","2022-10-31"
"Luciano Castiglione","1993-06-07","Baricella","Ziani e figli","Via Milena, 413 Appartamento 39 13891, Camburzano (BI)","58,16","2022-11-11"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Gucci, Garibaldi e Celentano s.r.l.","Contrada Margherita, 949 Appartamento 88 70121, Bari (BA)","27,95","2022-10-30"
"Diana Maffei","1995-12-06","Peschici","Alboni-Boccioni SPA","Stretto Rapisardi, 18 12089, Villanova Mondovi' (CN)","149,71","2022-10-17"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Borsiere SPA","Canale Alessandra, 93 71041, Carapelle (FG)","160,13","2022-11-02"
"Vittorio Gentili","1992-04-27","Sommati","Leoncavallo-Fagotto Group","Viale Maspero, 24 Appartamento 5 34136, Trieste (TS)","49,99","2022-10-31"
"Vittorio Gentili","1992-04-27","Sommati","Tebaldi-Ughi e figli","Via Tamborini, 53 80047, Santa Maria La Scala (NA)","137,61","2022-10-14"
"Luciano Castiglione","1993-06-07","Baricella","Marazzi-Mondadori SPA","Vicolo Sollima, 6 Appartamento 11 20847, Albiate (MB)","22,62","2022-10-25"
"Luciano Castiglione","1993-06-07","Baricella","Donà, Eco e Gianinazzi SPA","Via Piero, 9 Appartamento 8 95031, Adrano (CT)","207,85","2022-10-22"
"Marta Coppola","1984-03-04","Albese Con Cassano","Cendron, Morellato e Modiano s.r.l.","Stretto Traversa, 676 67057, Pescina (AQ)","217,96","2022-10-25"
"Tullio Majorana","1991-12-04","Giralba","Marcacci, Toso e Crespi SPA","Rotonda Sobrero, 65 Piano 5 98026, Nizza Di Sicilia (ME)","111,72","2022-11-04"
"Marta Coppola","1984-03-04","Albese Con Cassano","Sinisi s.r.l.","Strada Sagredo, 58 Appartamento 29 05039, Stroncone (TR)","207,39","2022-10-18"
"Diana Maffei","1995-12-06","Peschici","Barsanti-Pace e figli","Viale Tamburello, 565 Piano 1 40137, Bologna (BO)","163,80","2022-10-24"
"Diana Maffei","1995-12-06","Peschici","Barsanti-Pace e figli","Viale Tamburello, 565 Piano 1 40137, Bologna (BO)","144,33","2022-10-19"
"Luciano Castiglione","1993-06-07","Baricella","Salvo, Gabbana e Oscuro SPA","Canale Mercedes, 0 Piano 0 25089, Bostone (BS)","50,51","2022-10-31"
"Marta Coppola","1984-03-04","Albese Con Cassano","Procacci-Mastandrea s.r.l.","Stretto Pometta, 383 63828, Campofilone (FM)","244,19","2022-11-09"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Serlupi-Colletti e figli","Piazza Giampiero, 26 Piano 1 26025, Pandino (CR)","76,64","2022-10-20"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Belletini-Gregorio SPA","Incrocio Ginese, 68 89064, Saline Ioniche (RC)","50,35","2022-11-10"
"Mirko Malatesta","2000-02-10","Santorso","Napolitano, Udinesi e Panicucci Group","Viale Montanari, 0 Appartamento 88 60022, Acquaviva Villa Musone (AN)","40,99","2022-10-18"
"Marta Coppola","1984-03-04","Albese Con Cassano","Oscuro SPA","Incrocio Morandi, 3 Appartamento 84 76123, Andria (BT)","154,63","2022-10-29"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Tosto, Piacentini e Trapani SPA","Via Sonia, 1 Piano 5 35017, Ronchi (PD)","160,16","2022-11-07"
"Mirko Malatesta","2000-02-10","Santorso","Roero-Ferrari s.r.l.","Strada Tomaselli, 6 Piano 5 31035, Ciano Del Montello (TV)","250,18","2022-10-23"
"Luciano Castiglione","1993-06-07","Baricella","Ziani e figli","Via Milena, 413 Appartamento 39 13891, Camburzano (BI)","59,76","2022-10-15"
"Luciano Castiglione","1993-06-07","Baricella","Callegaro, Gottardi e Montalti SPA","Stretto Dossi, 78 46020, Schivenoglia (MN)","200,70","2022-10-29"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Maderna-Riccardi Group","Strada Lidia, 4 46040, Gazoldo Degli Ippoliti (MN)","9,70","2022-11-07"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Belletini-Gregorio SPA","Incrocio Ginese, 68 89064, Saline Ioniche (RC)","53,92","2022-11-01"
"Tullio Majorana","1991-12-04","Giralba","Rossini e figli","Rotonda Daria, 5 Piano 7 28014, Maggiora (NO)","125,42","2022-10-17"
"Tullio Majorana","1991-12-04","Giralba","Stoppani Group","Vicolo Pietrangeli, 84 Piano 0 90037, Piana Degli Albanesi (PA)","52,47","2022-11-06"
"Diana Maffei","1995-12-06","Peschici","Finotto, Ajello e Cerutti s.r.l.","Borgo Azeglio, 31 26817, San Martino In Strada (LO)","98,72","2022-11-07"
"Luciano Castiglione","1993-06-07","Baricella","Ziani e figli","Via Milena, 413 Appartamento 39 13891, Camburzano (BI)","249,86","2022-10-25"
"Marta Coppola","1984-03-04","Albese Con Cassano","Procacci-Mastandrea s.r.l.","Stretto Pometta, 383 63828, Campofilone (FM)","201,18","2022-11-05"
"Vittorio Gentili","1992-04-27","Sommati","Barzini, Pergolesi e Franzese s.r.l.","Rotonda Solimena, 438 31055, Quinto Di Treviso (TV)","28,95","2022-10-21"
"Tullio Majorana","1991-12-04","Giralba","Toninelli-Foconi Group","Strada Angelina, 79 Piano 1 17022, Borgio (SV)","144,15","2022-10-21"
"Luciano Castiglione","1993-06-07","Baricella","Ariosto-Gori s.r.l.","Rotonda Chiara, 71 21010, Porto Valtravaglia (VA)","107,52","2022-11-03"
"Mirko Malatesta","2000-02-10","Santorso","Bonino-Nolcini e figli","Via Casaleggio, 15 Appartamento 97 44037, Jolanda Di Savoia (FE)","244,91","2022-10-24"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Maderna-Riccardi Group","Strada Lidia, 4 46040, Gazoldo Degli Ippoliti (MN)","209,63","2022-10-24"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Tornatore, Condoleo e Garzoni SPA","Contrada Tiziana, 242 Appartamento 3 01027, Zepponami (VT)","137,84","2022-10-29"
"Diana Maffei","1995-12-06","Peschici","Bondumier SPA","Rotonda Argenti, 7 Piano 8 13855, Valdengo (BI)","228,48","2022-11-04"
"Mirko Malatesta","2000-02-10","Santorso","Guglielmi SPA","Vicolo Lina, 99 Appartamento 9 72014, Caranna (BR)","103,9","2022-10-15"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Doglioni-Scaramucci s.r.l.","Via Alberico, 46 50025, Montespertoli (FI)","149,3","2022-10-28"
"Mirko Malatesta","2000-02-10","Santorso","Fantozzi SPA","Piazza Guarino, 7 Appartamento 43 06134, Perugia (PG)","151,44","2022-10-21"
"Luciano Castiglione","1993-06-07","Baricella","Callegaro, Gottardi e Montalti SPA","Stretto Dossi, 78 46020, Schivenoglia (MN)","169,79","2022-10-25"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Luria e figli","Incrocio Federico, 963 Appartamento 7 10045, Piossasco (TO)","55,89","2022-10-15"
"Mirko Malatesta","2000-02-10","Santorso","Filippini, Vidoni e Vigliotti s.r.l.","Via Respighi, 70 12084, Rifreddo Mondovi' (CN)","242,4","2022-10-22"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Cerquiglini, Acerbi e Mazzocchi s.r.l.","Vicolo Emma, 6 45011, Baricetta (RO)","236,6","2022-10-18"
"Diana Maffei","1995-12-06","Peschici","Bondumier SPA","Rotonda Argenti, 7 Piano 8 13855, Valdengo (BI)","173,23","2022-10-29"
"Maria Marazzi","1992-06-18","Melle","Palazzo Group","Viale Iannucci, 926 32020, Avoscan (BL)","106,83","2022-10-27"
"Vittorio Gentili","1992-04-27","Sommati","Mondaini, Lollobrigida e Pavone e figli","Contrada Valguarnera, 10 Appartamento 14 70010, Adelfia Montrone (BA)","126,38","2022-10-31"
"Marta Coppola","1984-03-04","Albese Con Cassano","Chiesa-Piccinni e figli","Borgo Gloria, 4 23871, Lomagna (LC)","200,77","2022-10-20"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Tosto, Piacentini e Trapani SPA","Via Sonia, 1 Piano 5 35017, Ronchi (PD)","241,16","2022-10-25"
"Marta Coppola","1984-03-04","Albese Con Cassano","Botticelli-Ortolani s.r.l.","Stretto Annunziata, 7 89841, Pizzinni (VV)","189,65","2022-10-28"
"Diana Maffei","1995-12-06","Peschici","Sagese, Canali e Favata Group","Via Balotelli, 42 Appartamento 8 20017, Lucernate (MI)","82,13","2022-11-04"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Manacorda Group","Borgo Catenazzi, 33 Appartamento 65 44037, Jolanda Di Savoia (FE)","235,22","2022-10-30"
"Vittorio Gentili","1992-04-27","Sommati","Tresoldi-Tebaldi e figli","Vicolo Gino, 13 Piano 7 84070, Salento (SA)","133,90","2022-11-01"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Luria e figli","Incrocio Federico, 963 Appartamento 7 10045, Piossasco (TO)","74,18","2022-10-16"
"Marta Coppola","1984-03-04","Albese Con Cassano","Cociarelli, Rosselli e Giannetti Group","Contrada Roberta, 26 Appartamento 4 06083, Bastia (PG)","146,28","2022-11-11"
"Tullio Majorana","1991-12-04","Giralba","Sgalambro, Tencalla e Condoleo e figli","Vicolo Tomei, 698 Piano 4 02030, Collelungo (RI)","138,66","2022-10-20"
"Diana Maffei","1995-12-06","Peschici","Barsanti-Pace e figli","Viale Tamburello, 565 Piano 1 40137, Bologna (BO)","202,71","2022-11-03"
"Tullio Majorana","1991-12-04","Giralba","Antonello, Telesio e Pavarotti e figli","Canale Fiorenzo, 718 Piano 2 83050, San Nicola Baronia (AV)","236,74","2022-10-17"
"Vittorio Gentili","1992-04-27","Sommati","Mondaini, Lollobrigida e Pavone e figli","Contrada Valguarnera, 10 Appartamento 14 70010, Adelfia Montrone (BA)","192,86","2022-10-20"
"Luciano Castiglione","1993-06-07","Baricella","Salvo, Gabbana e Oscuro SPA","Canale Mercedes, 0 Piano 0 25089, Bostone (BS)","73,12","2022-11-05"
"Diana Maffei","1995-12-06","Peschici","Barsanti-Pace e figli","Viale Tamburello, 565 Piano 1 40137, Bologna (BO)","97,3","2022-10-28"
"Maria Marazzi","1992-06-18","Melle","Roero Group","Strada Goldoni, 913 Piano 0 84039, San Marco Di Teggiano (SA)","119,96","2022-10-29"
"Diana Maffei","1995-12-06","Peschici","Finotto, Ajello e Cerutti s.r.l.","Borgo Azeglio, 31 26817, San Martino In Strada (LO)","249,92","2022-10-25"
"Vittorio Gentili","1992-04-27","Sommati","Tresoldi-Tebaldi e figli","Vicolo Gino, 13 Piano 7 84070, Salento (SA)","90,37","2022-10-28"
"Tullio Majorana","1991-12-04","Giralba","Rossini e figli","Rotonda Daria, 5 Piano 7 28014, Maggiora (NO)","220,94","2022-10-17"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Tosto, Piacentini e Trapani SPA","Via Sonia, 1 Piano 5 35017, Ronchi (PD)","181,57","2022-10-23"
"Mirko Malatesta","2000-02-10","Santorso","Salieri SPA","Via Bocca, 40 Piano 7 87010, Rota Greca (CS)","170,7","2022-11-08"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Cicala SPA","Borgo Borzomì, 31 Piano 9 02023, Sant'Ippolito (RI)","154,74","2022-11-11"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Tornatore, Condoleo e Garzoni SPA","Contrada Tiziana, 242 Appartamento 3 01027, Zepponami (VT)","45,67","2022-10-28"
"Diana Maffei","1995-12-06","Peschici","Finotto, Ajello e Cerutti s.r.l.","Borgo Azeglio, 31 26817, San Martino In Strada (LO)","156,45","2022-10-21"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Serlupi-Colletti e figli","Piazza Giampiero, 26 Piano 1 26025, Pandino (CR)","246,14","2022-11-11"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Gianetti s.r.l.","Contrada Briccialdi, 894 55022, Casabasciana (LU)","122,67","2022-11-01"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Gianetti s.r.l.","Contrada Briccialdi, 894 55022, Casabasciana (LU)","131,6","2022-10-18"
"Vittorio Gentili","1992-04-27","Sommati","Tebaldi-Ughi e figli","Via Tamborini, 53 80047, Santa Maria La Scala (NA)","101,94","2022-10-29"
"Marta Coppola","1984-03-04","Albese Con Cassano","Passalacqua s.r.l.","Piazza Alfio, 40 Appartamento 5 80063, Piano Di Sorrento (NA)","88,2","2022-10-21"
"Luciano Castiglione","1993-06-07","Baricella","Donà, Eco e Gianinazzi SPA","Via Piero, 9 Appartamento 8 95031, Adrano (CT)","174,76","2022-11-05"
"Maria Marazzi","1992-06-18","Melle","Morpurgo, Ferrucci e Agostinelli SPA","Incrocio Cipolla, 599 20842, Besana In Brianza (MB)","63,89","2022-11-07"
"Mirko Malatesta","2000-02-10","Santorso","Roero-Ferrari s.r.l.","Strada Tomaselli, 6 Piano 5 31035, Ciano Del Montello (TV)","21,44","2022-11-06"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Mazzanti-Grasso Group","Canale Rosario, 94 Appartamento 73 36021, Ponte Di Barbarano (VI)","40,12","2022-11-03"
"Tullio Majorana","1991-12-04","Giralba","Stoppani Group","Vicolo Pietrangeli, 84 Piano 0 90037, Piana Degli Albanesi (PA)","80,78","2022-11-09"
"Luciano Castiglione","1993-06-07","Baricella","Malaparte s.r.l.","Stretto Carla, 20 Piano 7 63900, San Marco (FM)","223,80","2022-11-03"
"Tullio Majorana","1991-12-04","Giralba","Marcacci, Toso e Crespi SPA","Rotonda Sobrero, 65 Piano 5 98026, Nizza Di Sicilia (ME)","188,80","2022-11-08"
"Maria Marazzi","1992-06-18","Melle","Roero Group","Strada Goldoni, 913 Piano 0 84039, San Marco Di Teggiano (SA)","133,38","2022-10-25"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Scamarcio-Bernini s.r.l.","Strada Carlo, 77 05039, Stroncone (TR)","220,51","2022-11-02"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Ruggieri-Mannoia s.r.l.","Piazza Ariosto, 71 Piano 7 15051, Castellania (AL)","74,100","2022-11-08"
"Luciano Castiglione","1993-06-07","Baricella","Giovine SPA","Borgo Gabba, 443 Piano 7 74014, Laterza (TA)","84,68","2022-11-03"
"Maria Marazzi","1992-06-18","Melle","Canetta-Morlacchi Group","Vicolo Ennio, 21 26834, Corte Palasio (LO)","191,87","2022-10-21"
"Luciano Castiglione","1993-06-07","Baricella","Gangemi e figli","Via Alberico, 0 89049, Stilo (RC)","108,100","2022-10-22"
"Mirko Malatesta","2000-02-10","Santorso","Prada-Meucci e figli","Incrocio Spanevello, 89 Piano 7 00159, Roma (RM)","20,34","2022-11-08"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Zamengo e figli","Via Scarfoglio, 145 09030, Pabillonis (SU)","213,24","2022-10-17"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Cicala SPA","Borgo Borzomì, 31 Piano 9 02023, Sant'Ippolito (RI)","95,76","2022-11-11"
"Maria Marazzi","1992-06-18","Melle","Pisani s.r.l.","Piazza Cianciolo, 7 Piano 7 81053, Riardo (CE)","35,18","2022-11-05"
"Luciano Castiglione","1993-06-07","Baricella","Ariosto-Gori s.r.l.","Rotonda Chiara, 71 21010, Porto Valtravaglia (VA)","47,68","2022-11-03"
"Luciano Castiglione","1993-06-07","Baricella","Callegaro, Gottardi e Montalti SPA","Stretto Dossi, 78 46020, Schivenoglia (MN)","153,77","2022-10-20"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Greggio-Mascagni Group","Rotonda Mauro, 14 Appartamento 64 84052, Ceraso (SA)","142,76","2022-10-26"
"Luciano Castiglione","1993-06-07","Baricella","Fattori, Zarlino e Schiavo Group","Viale Bergoglio, 34 Appartamento 3 23016, Mantello (SO)","161,51","2022-10-16"
"Luciano Castiglione","1993-06-07","Baricella","Marazzi-Mondadori SPA","Vicolo Sollima, 6 Appartamento 11 20847, Albiate (MB)","195,84","2022-10-21"
"Tullio Majorana","1991-12-04","Giralba","Volta e figli","Piazza Gritti, 29 Appartamento 2 34071, Brazzano (GO)","57,41","2022-11-09"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Barracco-Anguissola s.r.l.","Borgo Ilaria, 61 Piano 9 84051, Centola (SA)","25,93","2022-11-07"
"Tullio Majorana","1991-12-04","Giralba","Anguillara s.r.l.","Piazza Puccio, 4 Appartamento 43 43050, Valmozzola Stazione (PR)","195,71","2022-10-18"
"Luciano Castiglione","1993-06-07","Baricella","Giovine SPA","Borgo Gabba, 443 Piano 7 74014, Laterza (TA)","226,62","2022-10-20"
"Mirko Malatesta","2000-02-10","Santorso","Cannizzaro-Barberini Group","Viale Sole, 94 Appartamento 13 23893, Cassago Brianza (LC)","187,29","2022-11-01"
"Luciano Castiglione","1993-06-07","Baricella","Gangemi e figli","Via Alberico, 0 89049, Stilo (RC)","244,75","2022-10-15"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Ioppi, Baggio e Trentin e figli","Vicolo Donatella, 710 Piano 4 25031, Capriolo (BS)","53,37","2022-10-27"
"Mirko Malatesta","2000-02-10","Santorso","Bonino-Nolcini e figli","Via Casaleggio, 15 Appartamento 97 44037, Jolanda Di Savoia (FE)","86,4","2022-10-24"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Serlupi-Colletti e figli","Piazza Giampiero, 26 Piano 1 26025, Pandino (CR)","73,46","2022-11-01"
"Vittorio Gentili","1992-04-27","Sommati","Tresoldi-Tebaldi e figli","Vicolo Gino, 13 Piano 7 84070, Salento (SA)","122,66","2022-11-06"
